Team,Year,Rank,Result,Change,Combinations,Expected_Value,Lottery_Chance,Difference,Standard_deviation,Z
POR,2022,6,7,-1,90.0,5.532444871527917,0.37046988847342854,-1.4675551284720827,2.4867028176263797,-0.590161042996244
SAC,2022,7,4,3,75.0,6.220128573375712,0.31798934800661227,2.220128573375712,2.6576049964152917,0.8353869654709148
CHA/NOP,2022,8,8,0,45.0,7.454175128752768,0.20181032425112705,-0.5458248712472322,2.567546748491433,-0.21258614728940484
SAS,2022,9,9,0,45.0,8.080708617960235,0.20181032425112705,-0.9192913820397646,2.8534723252811385,-0.3221658657401527
WAW,2022,10,10,0,45.0,8.707242107167659,0.20181032425112705,-1.2927578928323413,3.14176913066026,-0.4114745033988736
NYK,2022,11,11,0,18.0,10.435289788757245,0.08457673644283376,-0.5647102112427547,2.4205483156807235,-0.23329846695662546
SEA/OKC,2022,12,12,0,17.0,11.318414466864331,0.08000997019770896,-0.681585533135669,2.5927390178547616,-0.2628824299098235
CHA,2022,13,13,0,10.0,12.530253495916387,0.04760409463554484,-0.46974650408361285,2.228863030585165,-0.21075611091287458
CLE,2022,14,14,0,5.0,13.727672943645647,0.023992509176548132,-0.27232705635435295,1.745469441016795,-0.15601937791343584
HOU,2021,1,2,-1,140.0,3.6661906817370515,0.5193896214877216,1.6661906817370515,1.5136782925467163,1.1007561447774599
DET,2021,2,1,1,140.0,3.864516224643588,0.5193896214877216,2.864516224643588,1.7260566067255885,1.6595725849789547
ORL,2021,3,5,-2,140.0,4.062841767550109,0.5193896214877216,-0.9371582324498906,1.9301722238537087,-0.485530887279476
SEA/OKC,2021,4,6,-2,115.0,4.561669139951863,0.4497944104495967,-1.4383308600481373,2.10104906033948,-0.6845774747476563
CLE,2021,5,3,2,115.0,4.833291388329727,0.4497944104495967,1.8332913883297266,2.3317431644837843,0.7862321272144018
GSW,2021,6,7,-1,90.0,5.532444871527917,0.37046988847342854,-1.4675551284720827,2.4867028176263797,-0.590161042996244
TOR,2021,7,4,3,75.0,6.220128573375712,0.31798934800661227,2.220128573375712,2.6576049964152917,0.8353869654709148
ORL,2021,8,8,0,45.0,7.454175128752768,0.20181032425112705,-0.5458248712472322,2.567546748491433,-0.21258614728940484
SAC,2021,9,9,0,45.0,8.080708617960235,0.20181032425112705,-0.9192913820397646,2.8534723252811385,-0.3221658657401527
