Team,Year,Rank,Result,Change,Combinations,Expected_Value,Lottery_Chance,Difference,Standard_deviation,Z
TOR,2009,9,9,0,17.0,8.712856114790714,0.060396088121118664,-0.2871438852092858,1.7210821564522536,-0.16683915066622315
MIL,2009,10,10,0,10.0,9.813561032264905,0.03577708235849943,-0.1864389677350946,1.5211178840605837,-0.12256707365598829
BKN,2009,11,11,0,9.0,10.7776097983716,0.03223115235443404,-0.22239020162840006,1.60700326770268,-0.13838814525020968
CHA,2009,12,12,0,7.0,11.791028640379814,0.02511789462854612,-0.2089713596201861,1.5706642808138396,-0.13304648369026867
IND,2009,13,13,0,6.0,12.783355415154869,0.021550627276186732,-0.21664458484513105,1.5932039832396014,-0.13598044388805042
PHX,2009,14,14,0,5.0,13.786372771964327,0.01797630799654816,-0.2136272280356728,1.5826929571834398,-0.1349770510231143
MIA,2008,1,2,-1,250.0,2.6464926827686224,0.6397811177809484,0.6464926827686224,1.2037348787558475,0.5370723189784301
SEA/OKC,2008,2,4,-2,199.0,2.979164028424484,0.5536986675788811,-1.020835971575516,1.3337398677441756,-0.7653936095515459
MIN,2008,3,3,0,138.0,3.5339582550880904,0.42186367320154994,0.5339582550880904,1.480055765324712,0.3607690112750207
VAN/MEM,2008,4,5,-1,137.0,3.831633835917782,0.4194177963173229,-1.1683661640822178,1.7162239748793175,-0.6807772069285861
NYK,2008,5,6,-1,76.0,4.838543946467176,0.2526766244246452,-1.1614560535328238,1.761096133071418,-0.6595074690824518
LAC,2008,6,7,-1,75.0,5.389878392447354,0.24966125722809035,-1.6101216075526459,2.0265845324505274,-0.7945000969713815
MIL,2008,7,8,-1,43.0,6.5373358561313255,0.14863149367824763,-1.4626641438686745,1.941256706566759,-0.7534625064891561
CHA,2008,8,9,-1,28.0,7.603009437545826,0.09837299209783248,-1.3969905624541736,1.8785467925704482,-0.7436549187804086
CHI,2008,9,1,8,17.0,8.7128129158745,0.060411060978213874,7.712812915874499,1.721262106731203,4.480905543503581
BKN,2008,10,10,0,11.0,9.781890547568446,0.0393255994137161,-0.21810945243155366,1.5875831429170455,-0.13738458574887397
IND,2008,11,11,0,8.0,10.809313939518153,0.02868520225585782,-0.19068606048184655,1.5208619208033411,-0.12538025830847513
SAC,2008,12,12,0,7.0,11.790990189844136,0.025124133816049932,-0.20900981015586417,1.5708410067934773,-0.13305599309666052
POR,2008,13,13,0,6.0,12.783308971455195,0.021555981055301144,-0.2166910285448047,1.593382069322799,-0.13599439375949565
GSW,2008,14,14,0,5.0,13.786321932972498,0.01798077433451507,-0.21367806702750158,1.5828692343802928,-0.13499413747286484
VAN/MEM,2007,1,4,-3,250.0,2.64582818898966,0.6402349157386326,-1.3541718110103398,1.2034385351228922,-1.1252521599468768
BOS,2007,2,5,-3,199.0,2.9780480226441983,0.5541453750813883,-2.0219519773558017,1.3330654321011863,-1.516768741177834
MIL,2007,3,6,-3,156.0,3.4041211648829264,0.4646982986258712,-2.5958788351170736,1.4956918942191821,-1.73557057115178
ATL,2007,4,3,1,119.0,3.9658215014522056,0.3741311033640108,0.9658215014522056,1.6691350624063457,0.5786359194083477
SEA/OKC,2007,5,2,3,88.0,4.685035061897189,0.2884333407449666,2.6850350618971888,1.8189062916638963,1.4761810843157712
MIN,2007,6,7,-1,53.0,5.713085588707464,0.18129845725435478,-1.2869144112925364,1.8264491182647937,-0.7045991034862013
POR,2007,7,1,6,53.0,6.370240392703228,0.18129845725435478,5.370240392703228,2.0979093470919756,2.559805741915019
CHA,2007,8,8,0,19.0,7.82045197531257,0.06744282569978156,-0.17954802468743036,1.6103508339115675,-0.11149621617005369
CHI,2007,9,9,0,19.0,8.687694425580752,0.06744282569978156,-0.31230557441924844,1.8201195018617298,-0.17158520311430275
SAC,2007,10,10,0,18.0,9.58604992246954,0.06395843416486247,-0.4139500775304601,1.9868827785800922,-0.20834146935748557
ATL,2007,11,11,0,8.0,10.809173244491445,0.02871148255421528,-0.19082675550855477,1.5214635737087576,-0.12542315097520915
PHI,2007,12,12,0,7.0,11.790823823964988,0.025147140449051895,-0.2091761760350117,1.5714655274250486,-0.13310898163815332
CHA/NOP,2007,13,13,0,6.0,12.783127662785335,0.021575710524137585,-0.21687233721466548,1.5940190561313856,-0.13605379206758364
LAC,2007,14,14,0,5.0,13.78613645052404,0.017997223265725892,-0.21386354947595976,1.5835057780370894,-0.135057006069826
POR,2006,1,4,-3,250.0,2.6464424568350626,0.63981445134167,-1.3535575431649374,1.2037132981539975,-1.1244849959211545
CHI,2006,2,2,0,199.0,2.9790666755033834,0.5537317826600969,0.9790666755033834,1.333674835101143,0.7341119812230191
CHA,2006,3,3,0,138.0,3.5337894677324018,0.4218916060807926,0.5337894677324018,1.4799593775333963,0.36067845904125595
ATL,2006,4,5,-1,137.0,3.831400176558921,0.4194455995650733,-1.1685998234410788,1.7160691676921038,-0.6809747797128118
TOR,2006,5,1,4,88.0,4.684712415516473,0.2881878275032215,3.684712415516473,1.8180386524642946,2.026751417260552
MIN,2006,6,6,0,53.0,5.712819022442287,0.18114316275078496,-0.2871809775577132,1.8255421043333655,-0.15731271104403438
BOS,2006,7,7,0,53.0,6.370306806129468,0.18114316275078496,-0.6296931938705317,2.096949469998604,-0.3002901132715186
HOU,2006,8,8,0,23.0,7.723130991314812,0.08123638690365095,-0.27686900868518816,1.7380499767557043,-0.15929864640716493
GSW,2006,9,9,0,22.0,8.591413878416173,0.07778491865215735,-0.4085861215838271,1.92784848772428,-0.21193891749560712
SEA/OKC,2006,10,10,0,11.0,9.781880974351116,0.039328310682734374,-0.21811902564888364,1.5876307848699656,-0.13738649296016808
ORL,2006,11,11,0,8.0,10.809304651952262,0.028687177431493315,-0.19069534804773802,1.5209079576352316,-0.12538256972778206
CHA/NOP,2006,12,12,0,7.0,11.790978461220982,0.025125863025739555,-0.20902153877901775,1.5708885118918672,-0.1330594355975568
PHI,2006,13,13,0,6.0,12.783295682664608,0.021557464014165834,-0.21670431733539175,1.5934302996012986,-0.13599861719060732
UTA,2006,14,14,0,5.0,13.78630796781366,0.01798201076715144,-0.2136920321863407,1.5829172544393026,-0.13499886465135172
ATL,2005,1,2,-1,250.0,2.6464414655332726,0.6398511733594185,0.6464414655332726,1.2036829110914689,0.537052956037314
CHA/NOP,2005,2,4,-2,178.0,3.0904473315713243,0.512142618025473,-0.9095526684286757,1.3249491204115476,-0.6864812047621542
CHA,2005,3,5,-2,177.0,3.2863600712769654,0.5100645055400693,-1.7136399287230346,1.525471164109979,-1.1233512432356207
UTA,2005,4,3,1,119.0,3.9643662367924057,0.37381769427609735,0.9643662367924057,1.6677415769792836,0.5782468040037266
POR,2005,5,6,-1,88.0,4.684002247758619,0.28818447799638164,-1.3159977522413806,1.8174248553620118,-0.7241002280555076
MIL,2005,6,1,5,63.0,5.5488087434130575,0.2128064724064651,4.5488087434130575,1.9182789186317664,2.371296842826978
TOR,2005,7,7,0,36.0,6.6784109364332975,0.12540452926587306,-0.32158906356670247,1.8249351133843776,-0.17621945087697355
NYK,2005,8,8,0,35.0,7.459837989410943,0.1220535352679705,-0.5401620105890572,2.0585992761441503,-0.26239298577856546
GSW,2005,9,9,0,14.0,8.796507653074334,0.04990316235004896,-0.20349234692566576,1.5839584348278573,-0.12847076189078224
LAL,2005,10,10,0,14.0,9.69774403043813,0.04990316235004896,-0.3022559695618696,1.7726757649641416,-0.17050832167719276
ORL,2005,11,11,0,8.0,10.809291955500095,0.028686321162618045,-0.19070804449990497,1.5208743490354062,-0.12539368858502936
LAC,2005,12,12,0,7.0,11.790973637707035,0.02512510864808437,-0.20902636229296512,1.5708577775212915,-0.13306510957522502
CHA,2005,13,13,0,6.0,12.783297351772262,0.021556813017397383,-0.21670264822773788,1.5934021923648576,-0.13599996866209738
MIN,2005,14,14,0,5.0,13.786314746106587,0.017981464630758576,-0.21368525389341286,1.58289169577586,-0.1349967622318432
ORL,2004,1,1,0,250.0,2.6444690821643038,0.641229528934111,1.6444690821643038,1.2027758005673308,1.3672282742873885
CHI,2004,2,3,-1,200.0,2.9707345160225556,0.5569824215564487,-0.02926548397744444,1.3319820546479637,-0.021971380076272248
ATL,2004,3,5,-2,157.0,3.3931233184620573,0.4678137441663125,-1.6068766815379427,1.4935679305268574,-1.0758644777349469
WAW,2004,4,4,0,105.0,4.094188491647759,0.33715798702237765,0.09418849164775889,1.634801368286349,0.05761463959776977
LAC,2004,5,2,3,104.0,4.51024260593935,0.33439743350244633,2.51024260593935,1.8892141884299125,1.3287231386005849
PHX,2004,6,6,0,64.0,5.518335363068763,0.2165230633084847,-0.48166463693123696,1.9194331996350147,-0.2509410783468926
TOR,2004,7,7,0,37.0,6.640155280255415,0.1291024134892079,-0.35984471974458465,1.8348176322274554,-0.1961201557169122
PHI,2004,8,8,0,36.0,7.414673203161463,0.12575003483685193,-0.5853267968385367,2.070840951412126,-0.282651739352265
CLE,2004,9,9,0,18.0,8.659783643656626,0.06407723557397857,-0.3402163563433742,1.7532468948205948,-0.19404931350423846
GSW,2004,10,10,0,9.0,9.816406218961589,0.03232832258943262,-0.18359378103841095,1.4388722138714467,-0.12759561222218013
SEA/OKC,2004,11,11,0,9.0,10.752058536907121,0.03232832258943262,-0.24794146309287868,1.5972601060747302,-0.15522923420543902
POR,2004,12,12,0,6.0,11.804363205160046,0.02161549363164621,-0.19563679483995422,1.4508662909477463,-0.1348413675750636
UTA,2004,13,13,0,5.0,12.803794190985265,0.018030385879731332,-0.19620580901473517,1.4520615768787766,-0.13512223733409562
CLE,2003,1,1,0,225.0,2.7469359989519537,0.6013618767228578,1.7469359989519537,1.1984568657135244,1.4576544629429626
DEN,2003,2,3,-1,225.0,2.8619954961060112,0.6013618767228578,-0.13800450389398877,1.3514708638995796,-0.10211430196562724
TOR,2003,3,4,-1,157.0,3.390394242603428,0.46762866876062237,-0.6096057573965719,1.4910220853266267,-0.40885092407134277
MIA,2003,4,5,-1,120.0,3.9469184818528866,0.37727530389785713,-1.0530815181471134,1.6641509531208243,-0.632804083170606
LAC,2003,5,6,-1,89.0,4.660111052177374,0.2917373969167935,-1.339888947822626,1.8147689715496942,-0.7383248054315411
DET,2003,6,2,4,64.0,5.517931625486323,0.21640833771444073,3.517931625486323,1.9185209048776422,1.8336686436631175
CHI,2003,7,7,0,44.0,6.499508152558431,0.15226143351728455,-0.5004918474415687,1.9477664153789926,-0.25695681139680393
ATL,2003,8,8,0,29.0,7.557705305713007,0.10200600337737589,-0.44229469428699275,1.894734526578513,-0.23343359614905143
NYK,2003,9,9,0,15.0,8.743415586936433,0.053529853000036334,-0.2565844130635675,1.6206654594244287,-0.1583204057145095
WAW,2003,10,10,0,14.0,9.668977325863768,0.0500113609096744,-0.3310226741362321,1.7606137531430175,-0.18801549945028892
GSW,2003,11,11,0,7.0,10.815722003372944,0.025179271457569253,-0.18427799662705624,1.417556165504024,-0.12999696316197434
SEA/OKC,2003,12,12,0,6.0,11.804457566744507,0.021603243898236757,-0.19554243325549336,1.450492335974233,-0.13481107649159413
HOU,2003,13,13,0,5.0,12.803901176130493,0.01802016126438896,-0.19609882386950694,1.4516896408854039,-0.1350831598893988
GSW,2002,1,3,-2,225.0,2.7469359989519537,0.6013618767228578,-0.25306400104804627,1.1984568657135244,-0.2111582054289286
CHI,2002,2,2,0,225.0,2.8619954961060112,0.6013618767228578,0.8619954961060112,1.3514708638995796,0.6378202587503665
VAN/MEM,2002,3,4,-1,157.0,3.390394242603428,0.46762866876062237,-0.6096057573965719,1.4910220853266267,-0.40885092407134277
DEN,2002,4,5,-1,120.0,3.9469184818528866,0.37727530389785713,-1.0530815181471134,1.6641509531208243,-0.632804083170606
HOU,2002,5,1,4,89.0,4.660111052177374,0.2917373969167935,3.660111052177374,1.8147689715496942,2.0168468326036444
CLE,2002,6,6,0,64.0,5.517931625486323,0.21640833771444073,-0.4820683745136769,1.9185209048776422,-0.2512708479162607
NYK,2002,7,7,0,44.0,6.499508152558431,0.15226143351728455,-0.5004918474415687,1.9477664153789926,-0.25695681139680393
ATL,2002,8,8,0,29.0,7.557705305713007,0.10200600337737589,-0.44229469428699275,1.894734526578513,-0.23343359614905143
PHX,2002,9,9,0,15.0,8.743415586936433,0.053529853000036334,-0.2565844130635675,1.6206654594244287,-0.1583204057145095
MIA,2002,10,10,0,14.0,9.668977325863768,0.0500113609096744,-0.3310226741362321,1.7606137531430175,-0.18801549945028892
WAW,2002,11,11,0,7.0,10.815722003372944,0.025179271457569253,-0.18427799662705624,1.417556165504024,-0.12999696316197434
LAC,2002,12,12,0,6.0,11.804457566744507,0.021603243898236757,-0.19554243325549336,1.450492335974233,-0.13481107649159413
MIL,2002,13,13,0,5.0,12.803901176130493,0.01802016126438896,-0.19609882386950694,1.4516896408854039,-0.1350831598893988
CHI,2001,1,4,-3,250.0,2.6437717256947826,0.6417307590444317,-1.3562282743052174,1.2024425860729813,-1.127894412601004
GSW,2001,2,5,-3,200.0,2.969560595369627,0.5574651315844886,-2.030439404630373,1.3312428498348237,-1.5252208902998454
WAW,2001,3,1,2,157.0,3.3913179740158697,0.468244611757054,2.3913179740158697,1.4924592590435661,1.6022668354433554
VAN/MEM,2001,4,6,-2,120.0,3.947394421224894,0.37780828105312425,-2.052605578775106,1.6652980175846586,-1.232575525281773
ATL,2001,5,3,2,89.0,4.660067380180909,0.29216559909594964,1.6600673801809087,1.8158527998555345,0.9142081232096457
BKN,2001,6,7,-1,64.0,5.517529212062907,0.21673213975451153,-1.4824707879370926,1.919593297177411,-0.7722837905909197
CLE,2001,7,8,-1,44.0,6.498947120551113,0.152491266604447,-1.5010528794488867,1.9488451767068606,-0.7702268488999988
LAC,2001,8,2,6,29.0,7.557132998272866,0.1021604580719488,5.557132998272866,1.895803274167635,2.931281464693515
DET,2001,9,9,0,18.0,8.659466614586671,0.06413826780579661,-0.34053338541332856,1.7538715169806538,-0.19416096453836465
BOS,2001,10,10,0,11.0,9.752773172610665,0.039471905338370056,-0.2472268273893352,1.576220819783679,-0.15684783774348615
DEN,2001,11,11,0,7.0,10.815488748647198,0.02521738504736129,-0.18451125135280222,1.4184913499314653,-0.13007569722699888
SEA/OKC,2001,12,12,0,6.0,11.80419092825771,0.021635939798736282,-0.19580907174228912,1.451452676838981,-0.13490558449947415
HOU,2001,13,13,0,5.0,12.803619524068226,0.018047430061465673,-0.19638047593177355,1.452655291691255,-0.1351872512735884
LAC,2000,1,3,-2,250.0,2.65784622429205,0.6419404611257541,-0.34215377570795,1.205053479648515,-0.28393244074756585
CHI,2000,2,4,-2,200.0,2.9879377203299,0.5576954885661956,-1.0120622796701002,1.3347543179378474,-0.7582386256923327
ORL,2000,3,5,-2,157.0,3.4150401883613455,0.4684616859267393,-1.5849598116386545,1.4969198006325366,-1.058814113467479
VAN/MEM,2000,4,2,2,120.0,3.9775571458977694,0.3779926939127235,1.9775571458977694,1.6704872212047401,1.1838205768922754
ATL,2000,5,6,-1,89.0,4.697568731651305,0.2923103376945497,-1.3024312683486947,1.8214450807558724,-0.7150538229833453
WAW,2000,6,7,-1,64.0,5.562975448658869,0.2168390022295118,-1.437024551341131,1.925258654806631,-0.7464059687530468
BKN,2000,7,1,6,44.0,6.55275158193151,0.15256544097488833,5.55275158193151,1.9543519843801154,2.8412239076231405
CLE,2000,8,8,0,29.0,7.619406635405441,0.10220938598309214,-0.38059336459455917,1.9011192920833961,-0.20019436243660177
HOU,2000,9,9,0,18.0,8.730190695479994,0.06416855456744439,-0.26980930452000607,1.7591394418303368,-0.15337573480774033
ORL,2000,10,10,0,11.0,9.831674721986575,0.03949035580858788,-0.168325278013425,1.5817346447449097,-0.10641815210450249
BOS,2000,11,11,0,9.0,10.83110159606154,0.03237403801843134,-0.16889840393846,1.6002788359838358,-0.10554310920110552
DAL,2000,12,12,0,6.0,11.891164520966944,0.021645974476485225,-0.1088354790330559,1.4543906177726342,-0.07483235776076096
ORL,2000,13,13,0,5.0,12.897981518069665,0.018055786886063328,-0.10201848193033491,1.4560255892640117,-0.07006640726822869
VAN/MEM,1999,1,2,-1,250.0,2.629906912901541,0.64141120881542,0.6299069129015411,1.1999681954256267,0.5249363402320127
LAC,1999,2,4,-2,200.0,2.951506417230994,0.557130352016191,-1.048493582769006,1.3279885557785933,-0.7895351042044781
CHI,1999,3,1,2,157.0,3.368053093461639,0.46793499849568787,2.368053093461639,1.4883878322831492,1.5910188474391824
TOR,1999,4,5,-1,120.0,3.9178114680354716,0.3775471102838189,-1.0821885319645284,1.6606472561115562,-0.6516667088581459
MIN,1999,5,6,-1,89.0,4.623245762431887,0.29196088405652065,-1.3767542375681128,1.8109704899569337,-0.7602300784044543
WAW,1999,6,7,-1,64.0,5.472837215244934,0.2165807694034374,-1.527162784755066,1.9148584017222399,-0.7975330099507738
BOS,1999,7,8,-1,37.0,6.5853482294886305,0.12913760613960057,-1.4146517705113695,1.8311587144899093,-0.7725445966629044
PHX,1999,8,9,-1,36.0,7.3533736502595755,0.12578434491919704,-1.6466263497404245,2.0670542949889965,-0.7966052724073172
GSW,1999,9,10,-1,18.0,8.589162579817112,0.06409502042785832,-1.4108374201828884,1.7506030035881623,-0.8059151145583174
CLE,1999,10,11,-1,9.0,9.737345617897192,0.032337376190452016,-1.2626543821028076,1.4370754845787705,-0.8786277378275028
TOR,1999,11,12,-1,7.0,10.736224173777998,0.02520060922753372,-1.2637758262220018,1.4200766235012952,-0.8899349551336722
SEA/OKC,1999,12,13,-1,6.0,11.717619859508215,0.02162156547051798,-1.2823801404917852,1.4534100035745323,-0.8823251094583673
CHA/NOP,1999,13,3,10,5.0,12.70969099712572,0.01803545579809087,9.70969099712572,1.4550843518963372,6.6729402900055765
DEN,1998,1,3,-2,250.0,2.0871243546081364,0.6717913108730034,-0.9128756453918636,1.1929695013602786,-0.765212894672463
TOR,1998,2,4,-2,200.0,3.463175573072822,0.446332549498096,-0.5368244269271778,1.0019341301884745,-0.5357881429053578
LAC,1998,3,1,2,157.0,2.714749227472221,0.4903085767937415,1.714749227472221,1.5626768495196026,1.0973153073838449
GSW,1998,4,5,-1,105.0,3.2670847306909367,0.35480667790298975,-1.7329152693090633,1.7485397516633787,-0.9910642681474917
VAN/MEM,1998,5,2,3,104.0,3.572650669958549,0.3519394267183121,1.572650669958549,1.9952594297829362,0.7881935784809884
DAL,1998,6,6,0,64.0,4.375407669607129,0.22906160483427612,-1.624592330392871,2.121290726051644,-0.7658508616670017
SAC,1998,7,7,0,44.0,5.15701628682504,0.16167975686284725,-1.8429837131749602,2.2444352362645494,-0.8211347261871847
PHI,1998,8,8,0,29.0,6.006421172177711,0.10860070821387147,-1.9935788278222892,2.3147858926661358,-0.8612368142291186
MIL,1998,9,9,0,15.0,6.968808415766999,0.05713986198544222,-2.0311915842330013,2.249381006174844,-0.9030002381353429
BOS,1998,10,10,0,14.0,7.703805253860109,0.05339436592089082,-2.296194746139891,2.4659747073240292,-0.931150972197774
DET,1998,11,11,0,7.0,8.634105582116172,0.02691931777014906,-2.365894417883828,2.3997196133642213,-0.9859045218066235
ORL,1998,12,12,0,6.0,9.424586732693266,0.023100743496715724,-2.5754132673067343,2.5635907132765445,-1.004611716671059
WAW,1998,13,13,0,5.0,10.22457602618813,0.01927312160364757,-2.7754239738118702,2.713882663428286,-1.0226764816375085
VAN/MEM,1997,1,4,-3,250.0,2.4007057300639847,0.6854745625547122,-1.5992942699360153,1.2409434987101517,-1.2887728342171394
BOS,1997,2,3,-1,200.0,2.735173512816357,0.5978118126414701,-0.264826487183643,1.3803511827084631,-0.19185442842452044
SAS,1997,3,1,2,157.0,3.158905976151333,0.5042836149339369,2.158905976151333,1.549600274341657,1.393201854632181
DEN,1997,4,5,-1,120.0,3.7116904192183537,0.4086694668541678,-1.2883095807816463,1.73196238357217,-0.7438438576965566
PHI,1997,5,2,3,89.0,4.4179411621431335,0.31733240607510604,2.4179411621431335,1.894566228638539,1.2762505346042714
BOS,1997,6,6,0,64.0,5.2680881472208565,0.23624205024582462,-0.7319118527791435,2.010195601482123,-0.36409981806720837
BKN,1997,7,7,0,44.0,6.243060120444149,0.16671557573552057,-0.7569398795558513,2.0482230267860815,-0.36955930563068845
GSW,1997,8,8,0,24.0,7.422926979863383,0.09320667583432637,-0.5770730201366172,1.8567979496873253,-0.3107893458379751
TOR,1997,9,9,0,23.0,8.715726470463116,0.059904214804749445,-0.28427352953688434,1.5933119222951821,-0.17841674662635135
MIL,1997,10,10,0,11.0,9.493596837155014,0.04337596930875079,-0.5064031628449861,1.6822907718591287,-0.3010199968495049
SAC,1997,11,11,0,7.0,10.541778607943396,0.027729211255641414,-0.45822139205660406,1.5207669520024785,-0.30130940934325173
IND,1997,12,12,0,6.0,11.508919456864307,0.023794823884753024,-0.49108054313569305,1.558514948382776,-0.3150951767548156
CLE,1997,13,13,0,5.0,12.487302706597728,0.019851413177957803,-0.5126972934022724,1.5635428476404956,-0.3279074149940767
VAN/MEM,1996,1,3,-2,250.0,2.044692879432689,0.709709135951476,-0.9553071205673112,1.2064255410947988,-0.7918492174000192
PHI,1996,2,1,1,200.0,2.3309850325508674,0.6185442105364636,1.3309850325508674,1.3581712532383885,0.9799832159437192
TOR,1996,3,2,1,157.0,3.8377913094730323,0.3689378021359169,1.8377913094730323,1.1747505670139595,1.5644098084110087
MIL,1996,4,4,0,120.0,3.2040257301389605,0.4236289439154267,-0.7959742698610395,1.7894937518293053,-0.4448041626562579
MIN,1996,5,5,0,77.0,3.9505519674218608,0.29025326858647416,-1.0494480325781392,1.9454904403022182,-0.5394259518515624
DAL,1996,6,6,0,76.0,4.376466031209363,0.2869039164431636,-1.6235339687906372,2.222092801629536,-0.7306328374764747
LAC,1996,7,7,0,44.0,5.371166127558476,0.17380636208704678,-1.6288338724415237,2.2381871686913617,-0.7277469441458201
BKN,1996,8,8,0,29.0,6.281785055028849,0.11688847469921644,-1.7182149449711508,2.268764122996815,-0.7573352062274139
DAL,1996,9,9,0,18.0,7.23309024111067,0.07359941994119021,-1.76690975888933,2.2316582419294413,-0.7917474663870127
DEN,1996,10,10,0,11.0,8.173576227661867,0.04538062958090723,-1.8264237723381331,2.180825765926362,-0.8374918349161711
GSW,1996,11,11,0,7.0,9.082302654919266,0.029024183057164574,-1.9176973450807342,2.1651734586419678,-0.8857014838356394
CLE,1996,12,12,0,6.0,9.916437756547724,0.024908969062814205,-2.083562243452276,2.293468707479763,-0.9084764211768347
CHA/NOP,1996,13,13,0,5.0,10.760963168875657,0.0207833545519851,-2.239036831124343,2.4033806772166395,-0.9316197189857484
LAC,1995,1,2,-1,250.0,2.64069308058268,0.6441089296152164,0.6406930805826798,1.2008278801917123,0.5335428092162493
WAW,1995,2,4,-2,164.0,3.1597063016118194,0.4859042055295626,-0.8402936983881806,1.3102637314406094,-0.6413164603619869
MIN,1995,3,5,-2,164.0,3.3744309863200916,0.4859042055295626,-1.6255690136799084,1.5252969477224148,-1.0657393736394876
PHI,1995,4,3,1,163.0,3.5971789701517753,0.48368622585489096,0.5971789701517753,1.7248699468704896,0.34621680969934254
GSW,1995,5,1,4,94.0,4.5515947035116175,0.3078768636787092,3.5515947035116175,1.8041541882610923,1.9685649522753763
DET,1995,6,6,0,66.0,5.4234850763729945,0.2239093746197037,-0.5765149236270055,1.8981312592887463,-0.30372763780468637
BKN,1995,7,7,0,44.0,6.428171748059743,0.15312850104177156,-0.5718282519402571,1.9101849615782185,-0.29935752999950616
MIA,1995,8,8,0,27.0,7.531772239446309,0.09571031319414176,-0.46822776055369086,1.8071162801562526,-0.25910217604436914
MIL,1995,9,9,0,15.0,8.675276419540483,0.053830868284136565,-0.32472358045951744,1.5899402342504525,-0.20423634389792159
DAL,1995,10,10,0,8.0,9.790141147772417,0.02890919242035527,-0.20985885222758327,1.3372442156433288,-0.15693382687516297
SAC,1995,11,11,0,5.0,10.839111775746023,0.018120871565124878,-0.16088822425397709,1.1893326023131086,-0.1352760564547452
DAL,1994,1,2,-1,250.0,2.64069308058268,0.6441089296152164,0.6406930805826798,1.2008278801917123,0.5335428092162493
DET,1994,2,3,-1,164.0,3.1597063016118194,0.4859042055295626,0.15970630161181942,1.3102637314406094,0.12188866850204688
MIN,1994,3,4,-1,164.0,3.3744309863200916,0.4859042055295626,-0.6255690136799084,1.5252969477224148,-0.41012932899001264
MIL,1994,4,1,3,163.0,3.5971789701517753,0.48368622585489096,2.5971789701517753,1.7248699468704896,1.5057245184565689
WAW,1994,5,5,0,94.0,4.5515947035116175,0.3078768636787092,-0.44840529648838245,1.8041541882610923,-0.24854045147913403
PHI,1994,6,6,0,66.0,5.4234850763729945,0.2239093746197037,-0.5765149236270055,1.8981312592887463,-0.30372763780468637
LAC,1994,7,7,0,44.0,6.428171748059743,0.15312850104177156,-0.5718282519402571,1.9101849615782185,-0.29935752999950616
SAC,1994,8,8,0,27.0,7.531772239446309,0.09571031319414176,-0.46822776055369086,1.8071162801562526,-0.25910217604436914
BOS,1994,9,9,0,15.0,8.675276419540483,0.053830868284136565,-0.32472358045951744,1.5899402342504525,-0.20423634389792159
LAL,1994,10,10,0,8.0,9.790141147772417,0.02890919242035527,-0.20985885222758327,1.3372442156433288,-0.15693382687516297
CHA/NOP,1994,11,11,0,5.0,10.839111775746023,0.018120871565124878,-0.16088822425397709,1.1893326023131086,-0.1352760564547452
DAL,1993,1,4,-3,166.667,3.046250371924912,0.46506604114330985,-0.9537496280750881,1.1639742831239999,-0.8193906359471378
MIN,1993,2,5,-3,151.515,3.385219215450476,0.4321944891980974,-1.6147807845495241,1.4015899210280032,-1.1521064473445664
WAW,1993,3,6,-3,136.364,3.7867278660400756,0.39742554136437624,-2.2132721339599244,1.6351421745720032,-1.3535655604621941
SAC,1993,4,7,-3,121.212,4.260790039581934,0.3607310268089362,-2.7392099604180657,1.8629929533598755,-1.4703276013352322
PHI,1993,5,2,3,106.061,4.818097212925365,0.32210825492197026,2.818097212925365,2.080360905890628,1.3546193859660631
MIL,1993,6,8,-2,90.909,5.469798147323568,0.2815598954191598,-2.5302018526764316,2.2788073786964103,-1.1103184395180568
GSW,1993,7,3,4,75.758,6.227232895669925,0.2391134751819376,3.2272328956699248,2.444314455088492,1.3203018494414984
DEN,1993,8,9,-1,60.606,7.101901910465323,0.19479891676582323,-1.8980980895346766,2.554073924838036,-0.7431648986648037
MIA,1993,9,10,-1,45.455,8.105235063451811,0.14866972533983028,-1.8947649365481887,2.57062993286069,-0.7370819550208948
DET,1993,10,11,-1,30.303,9.248644973196106,0.10077826211115462,-1.7513550268038944,2.4272217356001873,-0.7215471916375332
ORL,1993,11,1,10,15.152,10.543266663969908,0.05119864626956763,9.543266663969908,1.975105619808388,4.831775358370827
MIN,1992,1,3,-2,166.667,3.046250371924912,0.46506604114330985,0.04625037192491188,1.1639742831239999,0.03973487438294611
ORL,1992,2,1,1,151.515,3.385219215450476,0.4321944891980974,2.385219215450476,1.4015899210280032,1.7017953537372934
DAL,1992,3,4,-1,136.364,3.7867278660400756,0.39742554136437624,-0.2132721339599244,1.6351421745720032,-0.1304303303263205
DEN,1992,4,5,-1,121.212,4.260790039581934,0.3607310268089362,-0.7392099604180657,1.8629929533598755,-0.39678623533433843
WAW,1992,5,6,-1,106.061,4.818097212925365,0.32210825492197026,-1.1819027870746348,2.080360905890628,-0.5681239172145699
SAC,1992,6,7,-1,90.909,5.469798147323568,0.2815598954191598,-1.5302018526764316,2.2788073786964103,-0.6714924073801193
MIL,1992,7,8,-1,75.758,6.227232895669925,0.2391134751819376,-1.7727671043300752,2.444314455088492,-0.725261473882621
CHA/NOP,1992,8,2,6,60.606,7.101901910465323,0.19479891676582323,5.101901910465323,2.554073924838036,1.9975545190176338
PHI,1992,9,9,0,45.455,8.105235063451811,0.14866972533983028,-0.8947649365481887,2.57062993286069,-0.34807224684902893
